taxa,taxon,C,N
Glossosomatidae,1,-33.2843,3.8901
Glossosomatidae,1,-33.0943,3.5101
Glossosomatidae,1,-33.1743,3.8801
Baetidae,2,-33.1705,6.205
Chironomidae,3,-28.2672,3.6024
Chironomidae,3,-28.1072,7.7924
Chironomidae,3,-28.1672,8.8224
N. julio,4,-29.801,3.202
N. julio,4,-30.101,2.582
N. julio,4,-29.771,5.282
N. julio,4,-30.031,6.012
P. pulchrus,5,-28.078,3.812
P. pulchrus,5,-27.418,3.212
P. pulchrus,5,-28.758,4.182
P. pulchrus,5,-29.898,2.992
Libellulidae,6,-31.7634,5.9388
Libellulidae,6,-31.2334,4.2088
Libellulidae,6,-32.1034,4.9888
Libellulidae,6,-31.7534,4.6788
X. elongata,7,-30.7837,3.0236
X. elongata,7,-30.8237,3.0736
X. elongata,7,-30.9237,3.0836
X. elongata,7,-30.7637,3.0536
A. lanipes,8,-30.7832,2.948
A. lanipes,8,-30.8732,3.138
A. lanipes,8,-30.7632,3.098
A. lanipes,8,-30.7832,3.008
M. crenulatum,9,-30.2882,2.8851
M. crenulatum,9,-30.3582,3.1751
M. crenulatum,9,-30.3482,2.7951
M. crenulatum,9,-30.1982,2.8551
A. evermani,10,-30.8808,3.1679
A. evermani,10,-30.6908,3.1679
A. evermani,10,-30.6908,3.1079
A. evermani,10,-30.7708,3.0379
A. evermani,10,-31.5608,3.3579
A. evermani,10,-31.4208,3.6479
A. evermani,10,-31.4808,3.5279
A. evermani,10,-31.4108,3.3779
L. regnyi,11,-28.4292,2.0828
L. regnyi,11,-28.6892,2.1028
L. regnyi,11,-28.3092,2.8128
L. regnyi,11,-28.6292,2.6328
