date,stream,isotope,value,hdi_lower,hdi_upper,period,source
February_2017,PA,carbon,-31.2878,-31.8281,-30.9820,one,algae
February_2017,PA,carbon,-31.6925,-31.9010,-31.4220,one,biofilm
February_2017,PA,carbon,-32.0750,-32.2040,-31.8380,one,leaflitter
November_2017,PA,carbon,-22.5013,-26.4454,-20.1697,two,algae
November_2017,PA,carbon,-26.3198,-26.3890,-26.2740,two,biofilm
November_2017,PA,carbon,-31.5665,-31.7280,-31.2570,two,leaflitter
June_2018,PA,carbon,-25.9788,-28.1238,-24.6862,three,algae
June_2018,PA,carbon,-28.0223,-28.4340,-27.7450,three,biofilm
June_2018,PA,carbon,-29.7800,-29.9110,-29.6530,three,leaflitter
February_2019,PA,carbon,-26.8444,-27.9850,-26.1582,four,algae
February_2019,PA,carbon,-27.8700,-27.9700,-27.7500,four,biofilm
February_2019,PA,carbon,-28.4467,-28.5700,-28.2800,four,leaflitter
February_2017,PA,nitrogen,11.2788,5.5783,22.0915,one,algae
February_2017,PA,nitrogen,6.0613,5.8050,6.5410,one,biofilm
February_2017,PA,nitrogen,0.5590,0.1750,0.9070,one,leaflitter
November_2017,PA,nitrogen,3.5359,2.0026,6.6952,two,algae
November_2017,PA,nitrogen,2.4130,1.6550,2.9310,two,biofilm
November_2017,PA,nitrogen,0.9295,0.6420,1.1520,two,leaflitter
June_2018,PA,nitrogen,10.1357,6.2223,17.5236,three,algae
June_2018,PA,nitrogen,6.6940,6.3570,7.0840,three,biofilm
June_2018,PA,nitrogen,3.6760,3.5970,3.7820,three,leaflitter
February_2019,PA,nitrogen,9.4335,3.8599,19.2792,four,algae
February_2019,PA,nitrogen,4.1800,3.9500,4.4600,four,biofilm
February_2019,PA,nitrogen,1.1533,0.9400,1.4600,four,leaflitter
